cyr,dep_id,see,app_udep_rc2,latest_moecd_scd2,top_uni,public
2018,1453,50,031032_國立臺中教育大學_特殊教育學系,0039_01113022,FALSE,TRUE
2018,1455,50,031142_國立臺中教育大學_科學教育與應用學系,0039_01131008,FALSE,TRUE
2018,1457,30,031182_國立臺中教育大學_美術學系,0039_02131029,FALSE,TRUE
2018,1459,60,031092_國立臺中教育大學_臺灣語文學系,0039_02321031,FALSE,TRUE
2018,1460,50,031072_國立臺中教育大學_英語學系,0039_02311032,FALSE,TRUE
2018,1461,50,031082_國立臺中教育大學_英語學系(公費生),0039_02311032,FALSE,TRUE
2018,1462,65,031042_國立臺中教育大學_語文教育學系,0039_01131006,FALSE,TRUE
2018,1463,50,031062_國立臺中教育大學_諮商與應用心理學系,0039_03131035,FALSE,TRUE
2018,1464,50,031152_國立臺中教育大學_資訊工程學系,0039_06131042,FALSE,TRUE
2018,1466,0,031172_國立臺中教育大學_音樂學系,0039_02151030,FALSE,TRUE
2018,1468,30,031192_國立臺中教育大學_體育學系運動專長組,0039_01131019,FALSE,TRUE
2018,1469,50,031122_國立臺中教育大學_體育學系非運動專長組,0039_01131019,FALSE,TRUE
2018,1471,60,099112_國立臺北大學_不動產與城鄉環境學系,0017_04134024,FALSE,TRUE
2018,1475,50,099152_國立臺北大學_中國文學系,0017_02322002,FALSE,TRUE
2018,1476,70,099042_國立臺北大學_企業管理學系,0017_04131018,FALSE,TRUE
2018,1478,50,099082_國立臺北大學_休閒運動管理學系,0017_10152042,FALSE,TRUE
2018,1481,50,099092_國立臺北大學_公共行政暨政策學系,0017_04134013,FALSE,TRUE
2018,1483,60,099162_國立臺北大學_應用外語學系,0017_02311004,FALSE,TRUE
2018,1485,50,099062_國立臺北大學_會計學系,0017_04111017,FALSE,TRUE
2018,1486,60,099172_國立臺北大學_歷史學系,0017_02221005,FALSE,TRUE
2018,1488,50,099022_國立臺北大學_法律學系司法組,0017_04211028,FALSE,TRUE
